ETF코드,ETF명,수집일자,티커,구성종목명,계약수,금액,시가총액,시가총액기준 구성비중
471780,TIGER 코리아테크액티브,20260818,005930,삼성전자,355.00,"97,447,500","95,317,500",27.06
471780,TIGER 코리아테크액티브,20260818,000660,SK하이닉스,48.00,"78,960,000","79,776,000",22.65
471780,TIGER 코리아테크액티브,20260818,009150,삼성전기,25.00,"38,950,000","36,000,000",10.22
471780,TIGER 코리아테크액티브,20260818,353200,대덕전자,137.00,"16,316,700","16,111,200",4.57
471780,TIGER 코리아테크액티브,20260818,095610,테스,106.00,"15,635,000","15,158,000",4.30
471780,TIGER 코리아테크액티브,20260818,319660,피에스케이,105.00,"14,080,500","13,860,000",3.93
471780,TIGER 코리아테크액티브,20260818,131290,티에스이,51.00,"13,260,000","13,719,000",3.89
471780,TIGER 코리아테크액티브,20260818,001820,삼화콘덴서,110.00,"11,330,000","10,714,000",3.04
471780,TIGER 코리아테크액티브,20260818,222800,심텍,83.00,"9,022,100","9,204,700",2.61
471780,TIGER 코리아테크액티브,20260818,031980,피에스케이홀딩스,77.00,"8,562,400","8,600,900",2.44
471780,TIGER 코리아테크액티브,20260818,006400,삼성SDI,16.00,"8,256,000","7,808,000",2.22
471780,TIGER 코리아테크액티브,20260818,089970,브이엠,91.00,"6,206,200","6,069,700",1.72
471780,TIGER 코리아테크액티브,20260818,402340,SK스퀘어,5.00,"5,770,000","5,675,000",1.61
471780,TIGER 코리아테크액티브,20260818,420770,기가비스,44.00,"5,284,400","5,636,400",1.60
471780,TIGER 코리아테크액티브,20260818,083450,GST,115.00,"5,669,500","5,416,500",1.54
471780,TIGER 코리아테크액티브,20260818,440110,파두,75.00,"4,912,500","5,122,500",1.45
471780,TIGER 코리아테크액티브,20260818,000150,두산,4.00,"5,104,000","5,000,000",1.42
471780,TIGER 코리아테크액티브,20260818,348210,넥스틴,127.00,"4,546,600","4,470,400",1.27
471780,TIGER 코리아테크액티브,20260818,131970,두산테스나,51.00,"4,284,000","4,013,700",1.14
471780,TIGER 코리아테크액티브,20260818,064290,인텍플러스,104.00,"3,213,600","3,770,000",1.07
471780,TIGER 코리아테크액티브,20260818,KRD010010001,원화현금,-,-,"833,710",0.24
471780,TIGER 코리아테크액티브,20260819,005930,삼성전자,355.00,"95,317,500","87,862,500",26.47
471780,TIGER 코리아테크액티브,20260819,000660,SK하이닉스,49.00,"81,438,000","73,500,000",22.14
471780,TIGER 코리아테크액티브,20260819,009150,삼성전기,25.00,"36,000,000","34,675,000",10.45
471780,TIGER 코리아테크액티브,20260819,353200,대덕전자,137.00,"16,111,200","15,645,400",4.71
471780,TIGER 코리아테크액티브,20260819,095610,테스,106.00,"15,158,000","15,264,000",4.60
471780,TIGER 코리아테크액티브,20260819,319660,피에스케이,105.00,"13,860,000","13,555,500",4.08
471780,TIGER 코리아테크액티브,20260819,131290,티에스이,51.00,"13,719,000","13,056,000",3.93
471780,TIGER 코리아테크액티브,20260819,001820,삼화콘덴서,110.00,"10,714,000","10,340,000",3.12
