h,kind,type,rank,wf_step,w_에너지배율,w_RS,w_주가위치,w_talent,weights,meanIC,IC_IR,n_obs,note
1,short1,best,1,0,0.0,1.0,0.0,0.0,에너지배율=0.0 / RS=1.0 / 주가위치=0.0 / talent=0.0,0.0058745426477754496,0.038131486376782396,175,"전구간 meanIC 최대 추천; WF test meanIC=-0.0005±0.0324; 선정 가중 안정성 에너지배율=0.00±0.00, RS=1.00±0.00, 주가위치=0.00±0.00, talent=0.00±0.00; WEIGHT_SETS 미변경"
1,short1,baseline,0,0,0.2,0.2,0.4,0.2,에너지배율=0.2 / RS=0.2 / 주가위치=0.4 / talent=0.2,-0.018680900465222097,-0.129653701468958,175,현재 WEIGHT_SETS['short']
1,short1,single_factor,1,0,1.0,0.0,0.0,0.0,에너지배율=1.0 / RS=0.0 / 주가위치=0.0 / talent=0.0,-0.04177539410874443,-0.30904558550856265,175,h=1 단일가중 점검: 에너지배율=1.0
1,short1,single_factor,2,0,0.0,1.0,0.0,0.0,에너지배율=0.0 / RS=1.0 / 주가위치=0.0 / talent=0.0,0.0058745426477754496,0.038131486376782396,175,h=1 단일가중 점검: RS=1.0
1,short1,single_factor,3,0,0.0,0.0,1.0,0.0,에너지배율=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,-0.00155595343013168,-0.011314451284619222,175,h=1 단일가중 점검: 주가위치=1.0
1,short1,single_factor,4,0,0.0,0.0,0.0,1.0,에너지배율=0.0 / RS=0.0 / 주가위치=0.0 / talent=1.0,-0.033418743607109544,-0.23305292552985513,175,h=1 단일가중 점검: talent=1.0
1,short1,is_top5,1,0,0.0,1.0,0.0,0.0,에너지배율=0.0 / RS=1.0 / 주가위치=0.0 / talent=0.0,0.0058745426477754496,0.038131486376782396,175,전구간 meanIC 상위5(과최적 판단용)
1,short1,is_top5,2,0,0.0,0.9,0.1,0.0,에너지배율=0.0 / RS=0.9 / 주가위치=0.1 / talent=0.0,0.005258882207879118,0.034138293850123964,175,전구간 meanIC 상위5(과최적 판단용)
1,short1,is_top5,3,0,0.0,0.8,0.2,0.0,에너지배율=0.0 / RS=0.8 / 주가위치=0.2 / talent=0.0,0.004582961368776448,0.029826716751783118,175,전구간 meanIC 상위5(과최적 판단용)
1,short1,is_top5,4,0,0.0,0.7,0.3,0.0,에너지배율=0.0 / RS=0.7 / 주가위치=0.3 / talent=0.0,0.0038446993862339715,0.025165691298578305,175,전구간 meanIC 상위5(과최적 판단용)
1,short1,is_top5,5,0,0.0,0.6,0.4,0.0,에너지배율=0.0 / RS=0.6 / 주가위치=0.4 / talent=0.0,0.0030214315177677343,0.019936839538817468,175,전구간 meanIC 상위5(과최적 판단용)
1,short1,wf_step,1,1,0.0,1.0,0.0,0.0,에너지배율=0.0 / RS=1.0 / 주가위치=0.0 / talent=0.0,-0.02608559944129298,-0.19574156314254126,35,train=2023-01-17~2023-09-22; test=2023-10-05~2024-06-17; train meanIC 최대
