h,kind,type,rank,wf_step,w_에너지배율,w_RS,w_주가위치,w_talent,weights,meanIC,IC_IR,n_obs,note
1,h1,best,1,0,0.0,0.1,0.9,0.0,에너지배율=0.0 / RS=0.1 / 주가위치=0.9 / talent=0.0,0.006025237213000328,0.04064423836606331,175,"전구간 meanIC 최대 추천; WF test meanIC=-0.0025±0.0177; 선정 가중 안정성 에너지배율=0.00±0.00, RS=0.67±0.05, 주가위치=0.32±0.05, talent=0.00±0.00; WEIGHT_SETS 미변경"
1,h1,baseline,0,0,0.2,0.2,0.4,0.2,에너지배율=0.2 / RS=0.2 / 주가위치=0.4 / talent=0.2,-0.030388769410956015,-0.19278513781813927,175,현재 WEIGHT_SETS['short']
1,h1,single_factor,1,0,1.0,0.0,0.0,0.0,에너지배율=1.0 / RS=0.0 / 주가위치=0.0 / talent=0.0,-0.09231336765904018,-0.6025644276455613,175,h=1 단일가중 점검: 에너지배율=1.0
1,h1,single_factor,2,0,0.0,1.0,0.0,0.0,에너지배율=0.0 / RS=1.0 / 주가위치=0.0 / talent=0.0,0.0031338349491953194,0.019936866516614866,175,h=1 단일가중 점검: RS=1.0
1,h1,single_factor,3,0,0.0,0.0,1.0,0.0,에너지배율=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,0.006017917874689264,0.04121391704837659,175,h=1 단일가중 점검: 주가위치=1.0
1,h1,single_factor,4,0,0.0,0.0,0.0,1.0,에너지배율=0.0 / RS=0.0 / 주가위치=0.0 / talent=1.0,-0.029603866191441515,-0.20505958671618701,175,h=1 단일가중 점검: talent=1.0
1,h1,is_top5,1,0,0.0,0.1,0.9,0.0,에너지배율=0.0 / RS=0.1 / 주가위치=0.9 / talent=0.0,0.006025237213000328,0.04064423836606331,175,전구간 meanIC 상위5(과최적 판단용)
1,h1,is_top5,2,0,0.0,0.0,1.0,0.0,에너지배율=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,0.006017917874689264,0.04121391704837659,175,전구간 meanIC 상위5(과최적 판단용)
1,h1,is_top5,3,0,0.0,0.5,0.5,0.0,에너지배율=0.0 / RS=0.5 / 주가위치=0.5 / talent=0.0,0.005880745206260248,0.03764857406588717,175,전구간 meanIC 상위5(과최적 판단용)
1,h1,is_top5,4,0,0.0,0.2,0.8,0.0,에너지배율=0.0 / RS=0.2 / 주가위치=0.8 / talent=0.0,0.005844867138388295,0.038826288398357826,175,전구간 meanIC 상위5(과최적 판단용)
1,h1,is_top5,5,0,0.0,0.3,0.7,0.0,에너지배율=0.0 / RS=0.3 / 주가위치=0.7 / talent=0.0,0.0057774378299562884,0.037767283350208423,175,전구간 meanIC 상위5(과최적 판단용)
1,h1,wf_step,1,1,0.0,0.7,0.3,0.0,에너지배율=0.0 / RS=0.7 / 주가위치=0.3 / talent=0.0,-0.0071793644778953905,-0.049675451419292985,35,train=2023-01-17~2023-09-22; test=2023-10-05~2024-06-17; train meanIC 최대
1,h1,wf_step,2,2,0.0,0.7,0.3,0.0,에너지배율=0.0 / RS=0.7 / 주가위치=0.3 / talent=0.0,-0.014446109229912052,-0.07879091255850261,35,train=2023-01-17~2024-06-17; test=2024-06-24~2025-03-10; train meanIC 최대
1,h1,wf_step,3,3,0.0,0.7,0.3,0.0,에너지배율=0.0 / RS=0.7 / 주가위치=0.3 / talent=0.0,0.02366624608595011,0.13693087835301426,35,train=2023-01-17~2025-03-10; test=2025-03-17~2025-11-25; train meanIC 최대
1,h1,wf_step,4,4,0.0,0.6,0.4,0.0,에너지배율=0.0 / RS=0.6 / 주가위치=0.4 / talent=0.0,-0.01199665247742274,-0.07602026133573409,35,train=2023-01-17~2025-11-25; test=2025-12-02~2026-08-13; train meanIC 최대
5,h5,best,1,0,0.0,0.0,1.0,0.0,에너지배율=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,-0.011072163069648724,-0.07971167448354509,174,"전구간 meanIC 최대 추천; WF test meanIC=-0.0241±0.0106; 선정 가중 안정성 에너지배율=0.00±0.00, RS=0.50±0.58, 주가위치=0.50±0.58, talent=0.00±0.00; WEIGHT_SETS 미변경"
5,h5,baseline,0,0,0.2,0.2,0.4,0.2,에너지배율=0.2 / RS=0.2 / 주가위치=0.4 / talent=0.2,-0.058466734884173005,-0.4141094683520709,174,현재 WEIGHT_SETS['short']
5,h5,single_factor,1,0,1.0,0.0,0.0,0.0,에너지배율=1.0 / RS=0.0 / 주가위치=0.0 / talent=0.0,-0.12571823521232225,-0.9443084328956526,174,h=5 단일가중 점검: 에너지배율=1.0
5,h5,single_factor,2,0,0.0,1.0,0.0,0.0,에너지배율=0.0 / RS=1.0 / 주가위치=0.0 / talent=0.0,-0.018083950665651865,-0.1267509030003853,174,h=5 단일가중 점검: RS=1.0
5,h5,single_factor,3,0,0.0,0.0,1.0,0.0,에너지배율=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,-0.011072163069648724,-0.07971167448354509,174,h=5 단일가중 점검: 주가위치=1.0
5,h5,single_factor,4,0,0.0,0.0,0.0,1.0,에너지배율=0.0 / RS=0.0 / 주가위치=0.0 / talent=1.0,-0.053421251781588755,-0.3581612316464243,174,h=5 단일가중 점검: talent=1.0
5,h5,is_top5,1,0,0.0,0.0,1.0,0.0,에너지배율=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,-0.011072163069648724,-0.07971167448354509,174,전구간 meanIC 상위5(과최적 판단용)
5,h5,is_top5,2,0,0.0,0.1,0.9,0.0,에너지배율=0.0 / RS=0.1 / 주가위치=0.9 / talent=0.0,-0.011440536895948305,-0.08166563279051474,174,전구간 meanIC 상위5(과최적 판단용)
