h,kind,type,rank,wf_step,weights,meanIC,IC_IR,n_obs,note,w_tv5,w_RS,w_주가위치,w_talent
1,h1,best,1,0,tv5=0.0 / RS=1.0 / 주가위치=0.0 / talent=0.0,0.0058745426477754496,0.038131486376782396,175,"전구간 meanIC 최대 추천; WF test meanIC=-0.0007±0.0327; 선정 가중 안정성 tv5=0.03±0.05, RS=0.97±0.05, 주가위치=0.00±0.00, talent=0.00±0.00; WEIGHT_SETS 미변경",0.0,1.0,0.0,0.0
1,h1,baseline,0,0,tv5=0.2 / RS=0.2 / 주가위치=0.4 / talent=0.2,-0.012014552114369524,-0.08509989470167817,175,현재 WEIGHT_SETS['short'],0.2,0.2,0.4,0.2
1,h1,single_factor,1,0,tv5=1.0 / RS=0.0 / 주가위치=0.0 / talent=0.0,-0.01502149627435568,-0.11800873857501598,175,h=1 단일가중 점검: tv5=1.0,1.0,0.0,0.0,0.0
1,h1,single_factor,2,0,tv5=0.0 / RS=1.0 / 주가위치=0.0 / talent=0.0,0.0058745426477754496,0.038131486376782396,175,h=1 단일가중 점검: RS=1.0,0.0,1.0,0.0,0.0
1,h1,single_factor,3,0,tv5=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,-0.00155595343013168,-0.011314451284619222,175,h=1 단일가중 점검: 주가위치=1.0,0.0,0.0,1.0,0.0
1,h1,single_factor,4,0,tv5=0.0 / RS=0.0 / 주가위치=0.0 / talent=1.0,-0.0345747849734762,-0.22343986119254206,175,h=1 단일가중 점검: talent=1.0,0.0,0.0,0.0,1.0
1,h1,is_top5,1,0,tv5=0.0 / RS=1.0 / 주가위치=0.0 / talent=0.0,0.0058745426477754496,0.038131486376782396,175,전구간 meanIC 상위5(과최적 판단용),0.0,1.0,0.0,0.0
1,h1,is_top5,2,0,tv5=0.0 / RS=0.9 / 주가위치=0.1 / talent=0.0,0.005258882207879118,0.034138293850123964,175,전구간 meanIC 상위5(과최적 판단용),0.0,0.9,0.1,0.0
1,h1,is_top5,3,0,tv5=0.0 / RS=0.8 / 주가위치=0.2 / talent=0.0,0.004582961368776448,0.029826716751783118,175,전구간 meanIC 상위5(과최적 판단용),0.0,0.8,0.2,0.0
1,h1,is_top5,4,0,tv5=0.1 / RS=0.9 / 주가위치=0.0 / talent=0.0,0.004223138005902385,0.027658043161825394,175,전구간 meanIC 상위5(과최적 판단용),0.1,0.9,0.0,0.0
