h,type,wf_step,selected_factors,signs,weights,meanIC,IC_IR,n_obs,note
1,best_full,0,talent|tv5_turn|rev5|flow_3000|flow_7050,-1|-1|1|-1|-1,talent=0.4 / tv5_turn=0.0 / rev5=0.5 / flow_3000=0.1 / flow_7050=0.0,0.06799012507389887,0.5324630849278033,55,전체 표본 선별·최적
1,wf_step,1,talent|tv5_turn|rev5|flow_3000|flow_7050,-1|-1|1|-1|-1,talent=0.3 / tv5_turn=0.0 / rev5=0.6 / flow_3000=0.1 / flow_7050=0.0,0.036707148702808355,0.41853693021367133,11,train=2025-07-07~2025-09-16; test=2025-09-23~2025-12-09
1,wf_step,2,talent|tv5_turn|rev5|flow_3000|flow_7050,-1|-1|1|-1|-1,talent=0.3 / tv5_turn=0.0 / rev5=0.6 / flow_3000=0.1 / flow_7050=0.0,0.004292846860121219,0.03126978224816069,11,train=2025-07-07~2025-12-09; test=2025-12-16~2026-03-05
1,wf_step,3,talent|tv5_turn|rev5|flow_3000|flow_7050,-1|-1|1|-1|-1,talent=0.0 / tv5_turn=0.0 / rev5=0.8 / flow_3000=0.2 / flow_7050=0.0,-0.01195377472687692,-0.1418106805423382,11,train=2025-07-07~2026-03-05; test=2026-03-12~2026-05-26
1,wf_step,4,talent|tv5_turn|rev5|flow_3000|flow_7050,-1|-1|1|-1|-1,talent=0.3 / tv5_turn=0.0 / rev5=0.4 / flow_3000=0.3 / flow_7050=0.0,0.15750266977776045,1.0886394810297042,11,train=2025-07-07~2026-05-26; test=2026-06-02~2026-08-13
5,best_full,0,talent|tv5_turn|flow_6000|div5|flow_7050,-1|-1|-1|-1|-1,talent=0.2 / tv5_turn=0.2 / flow_6000=0.3 / div5=0.0 / flow_7050=0.3,0.0442594459551089,0.32999263163579495,54,전체 표본 선별·최적
5,wf_step,1,talent|tv5_turn|flow_6000|div5|flow_7050,-1|-1|-1|-1|-1,talent=0.0 / tv5_turn=0.3 / flow_6000=0.2 / div5=0.0 / flow_7050=0.5,0.02671058911582577,0.2762278297245925,11,train=2025-07-07~2025-09-16; test=2025-09-23~2025-12-09
5,wf_step,2,talent|tv5_turn|flow_6000|div5|flow_7050,-1|-1|-1|-1|-1,talent=0.0 / tv5_turn=0.5 / flow_6000=0.2 / div5=0.1 / flow_7050=0.2,0.016669171394799533,0.2278495490957744,11,train=2025-07-07~2025-12-09; test=2025-12-16~2026-03-05
5,wf_step,3,talent|tv5_turn|flow_6000|div5|flow_7050,-1|-1|-1|-1|-1,talent=0.0 / tv5_turn=0.4 / flow_6000=0.3 / div5=0.0 / flow_7050=0.3,0.024410440268306854,0.2110069523999308,11,train=2025-07-07~2026-03-05; test=2026-03-12~2026-05-26
5,wf_step,4,talent|tv5_turn|flow_6000|div5|flow_7050,-1|-1|-1|-1|-1,talent=0.1 / tv5_turn=0.2 / flow_6000=0.4 / div5=0.0 / flow_7050=0.3,0.11533081138691759,0.6832751433393699,10,train=2025-07-07~2026-05-26; test=2026-06-02~2026-08-06
10,best_full,0,talent|tv5_turn|flow_6000|div5|flow_7050,-1|-1|-1|-1|-1,talent=0.4 / tv5_turn=0.1 / flow_6000=0.2 / div5=0.0 / flow_7050=0.3,0.05521297433695517,0.36634989291650477,53,전체 표본 선별·최적
10,wf_step,1,talent|tv5_turn|flow_6000|div5|flow_7050,-1|-1|-1|-1|-1,talent=0.0 / tv5_turn=0.0 / flow_6000=0.5 / div5=0.0 / flow_7050=0.5,0.016460459222580322,0.23017781295024997,11,train=2025-07-07~2025-09-16; test=2025-09-23~2025-12-09
10,wf_step,2,talent|tv5_turn|flow_6000|div5|flow_7050,-1|-1|-1|-1|-1,talent=0.0 / tv5_turn=0.4 / flow_6000=0.2 / div5=0.0 / flow_7050=0.4,0.026558081437257523,0.31251591252528677,11,train=2025-07-07~2025-12-09; test=2025-12-16~2026-03-05
10,wf_step,3,talent|tv5_turn|flow_6000|div5|flow_7050,-1|-1|-1|-1|-1,talent=0.0 / tv5_turn=0.2 / flow_6000=0.2 / div5=0.0 / flow_7050=0.6,0.009345026314133222,0.13803769618800332,10,train=2025-07-07~2026-03-05; test=2026-03-12~2026-05-18
10,wf_step,4,talent|tv5_turn|flow_6000|div5|flow_7050,-1|-1|-1|-1|-1,talent=0.0 / tv5_turn=0.0 / flow_6000=0.3 / div5=0.0 / flow_7050=0.7,0.08012686187688293,0.6623389421164151,10,train=2025-07-07~2026-05-18; test=2026-05-26~2026-07-30
20,best_full,0,talent|tv5_turn|div5|flow_6000,-1|-1|-1|-1,talent=0.7 / tv5_turn=0.0 / div5=0.0 / flow_6000=0.3,0.054679917666283516,0.29869167075861613,51,전체 표본 선별·최적
20,wf_step,1,talent|tv5_turn|div5|flow_6000,-1|-1|-1|-1,talent=0.0 / tv5_turn=0.0 / div5=0.0 / flow_6000=1.0,0.013166716951383262,0.18367521222111263,10,train=2025-07-07~2025-09-16; test=2025-09-23~2025-12-02
20,wf_step,2,talent|tv5_turn|div5|flow_6000,-1|-1|-1|-1,talent=0.0 / tv5_turn=0.4 / div5=0.0 / flow_6000=0.6,0.0014554421846982996,0.028543080553525856,10,train=2025-07-07~2025-12-02; test=2025-12-09~2026-02-13
20,wf_step,3,talent|tv5_turn|div5|flow_6000,-1|-1|-1|-1,talent=0.0 / tv5_turn=0.0 / div5=0.0 / flow_6000=1.0,0.020794734264714988,0.3042838285626863,10,train=2025-07-07~2026-02-13; test=2026-02-25~2026-04-30
20,wf_step,4,talent|tv5_turn|div5|flow_6000,-1|-1|-1|-1,talent=0.0 / tv5_turn=0.0 / div5=0.0 / flow_6000=1.0,0.020725758797747535,0.2739753388171975,10,train=2025-07-07~2026-04-30; test=2026-05-11~2026-07-15
