h,factor,meanIC_raw,IC_IR_raw,n_obs_raw,meanIC_size_neutral,IC_IR_size_neutral,n_obs_size_neutral,delta_meanIC,is_investor_factor,sample_note
1,RS,0.005874542647775454,0.038131486376782424,175,0.0035617651004943725,0.023002417534822912,175,-0.0023127775472810814,False,full-history factor
1,div5,0.002225523692016517,0.014872359365164477,175,0.0014443332629217123,0.009515722982785756,175,-0.0007811904290948048,False,full-history factor
1,flow_1000,0.003747784431865815,0.049892482895046046,55,0.003227233332752452,0.0449362659541854,55,-0.0005205510991133631,True,investor data from 2025-07-07; n_obs differs from full-history factors
1,flow_3000,-0.02737481663844233,-0.3285278403970222,55,-0.026848017316728322,-0.33758232699919777,55,0.0005267993217140075,True,investor data from 2025-07-07; n_obs differs from full-history factors
1,flow_3100,-0.010549925295249578,-0.14729130211191915,55,-0.009752860824221218,-0.14199826632648518,55,0.0007970644710283605,True,investor data from 2025-07-07; n_obs differs from full-history factors
1,flow_6000,-0.017061665990745364,-0.1906265295671135,55,-0.016040114572832602,-0.17840555608350905,55,0.0010215514179127624,True,investor data from 2025-07-07; n_obs differs from full-history factors
1,flow_7050,-0.023144115409599042,-0.25274869773117287,55,-0.02361454520756739,-0.2716895361469746,55,-0.000470429797968349,True,investor data from 2025-07-07; n_obs differs from full-history factors
1,flow_8000,0.0074314055268611436,0.09525693705846859,55,0.00885929504123578,0.1159364621344652,55,0.0014278895143746365,True,investor data from 2025-07-07; n_obs differs from full-history factors
1,flow_foreign,0.01586106374807999,0.2349338964538806,55,0.014645590003481031,0.2220870234028198,55,-0.001215473744598957,True,investor data from 2025-07-07; n_obs differs from full-history factors
1,rev5,0.02713766141742357,0.23198464916729672,175,0.02859174478531262,0.24244277673037296,175,0.001454083367889051,False,full-history factor
1,talent,-0.034574784973476186,-0.22343986119254197,175,-0.03283078545928674,-0.21221246531772908,175,0.001743999514189444,False,full-history factor
1,tv5_turn,-0.02790104634060776,-0.18246946358188065,175,-0.029383651134418678,-0.18294131025763907,175,-0.0014826047938109183,False,full-history factor
1,주가위치,-0.0015559534301316734,-0.011314451284619172,175,-0.004111507109405976,-0.030037967218456463,175,-0.0025555536792743025,False,full-history factor
5,RS,-0.014795212646495817,-0.10226605746922429,174,-0.02036011687624663,-0.13984133369395782,174,-0.005564904229750811,False,full-history factor
5,div5,-0.025913232974889507,-0.16778583209282014,174,-0.027376800694960002,-0.17392083871143835,174,-0.0014635677200704952,False,full-history factor
5,flow_1000,-0.002745638826785131,-0.03775782545245265,54,-0.004770262721772194,-0.07105487704157444,54,-0.002024623894987063,True,investor data from 2025-07-07; n_obs differs from full-history factors
5,flow_3000,-0.018140197695963693,-0.2355788131536114,54,-0.017850519601706836,-0.2393679793470693,54,0.00028967809425685734,True,investor data from 2025-07-07; n_obs differs from full-history factors
5,flow_3100,-0.005637330021264736,-0.08865139741210941,54,-0.005188908318153056,-0.08476930743905577,54,0.00044842170311168005,True,investor data from 2025-07-07; n_obs differs from full-history factors
5,flow_6000,-0.0338871110074607,-0.4169921686527784,54,-0.03396853946819268,-0.42366492939790595,54,-8.142846073197485e-05,True,investor data from 2025-07-07; n_obs differs from full-history factors
5,flow_7050,-0.0259340839951497,-0.3230642307679679,54,-0.02654086529782957,-0.34589579049114294,54,-0.0006067813026798714,True,investor data from 2025-07-07; n_obs differs from full-history factors
5,flow_8000,0.006826770320944418,0.08676068270688449,54,0.007434548272756252,0.0952961779275798,54,0.0006077779518118337,True,investor data from 2025-07-07; n_obs differs from full-history factors
5,flow_foreign,0.014355996709801469,0.19629535247760765,54,0.014870919868578537,0.19823996527257026,54,0.0005149231587770683,True,investor data from 2025-07-07; n_obs differs from full-history factors
5,rev5,0.01296279489911036,0.11647618353456429,174,0.014886739242931013,0.13175463195791876,174,0.0019239443438206529,False,full-history factor
5,talent,-0.05473736523307468,-0.32656289295376145,174,-0.056067733902494345,-0.33609195969996103,174,-0.001330368669419664,False,full-history factor
5,tv5_turn,-0.04690763531120247,-0.2878995218316958,174,-0.04964316790594162,-0.2913800154889327,174,-0.0027355325947391526,False,full-history factor
5,주가위치,-0.011843213812800303,-0.08721285978807733,174,-0.016780652216521988,-0.12406275002549841,174,-0.004937438403721685,False,full-history factor
10,RS,-0.014028835173346382,-0.0968595417195039,173,-0.02128942285910705,-0.146306362703725,173,-0.007260587685760669,False,full-history factor
10,div5,-0.03072955968766495,-0.2028088860258187,173,-0.032267778412799805,-0.21037295366969946,173,-0.0015382187251348559,False,full-history factor
10,flow_1000,-0.011628488963506562,-0.15518166601588168,53,-0.013782286130103764,-0.1968796000708198,53,-0.002153797166597202,True,investor data from 2025-07-07; n_obs differs from full-history factors
10,flow_3000,-0.025432629957418875,-0.3987747401772013,53,-0.022775566531509677,-0.3638031156949882,53,0.002657063425909198,True,investor data from 2025-07-07; n_obs differs from full-history factors
10,flow_3100,0.0007364553242085444,0.011052417229378067,53,0.00340493826635612,0.05293805565041776,53,0.002668482942147576,True,investor data from 2025-07-07; n_obs differs from full-history factors
10,flow_6000,-0.03312598380974971,-0.43031897651297524,53,-0.03276210765505441,-0.42592260721133546,53,0.0003638761546952973,True,investor data from 2025-07-07; n_obs differs from full-history factors
10,flow_7050,-0.03227917568005438,-0.44050501550890764,53,-0.03210396213601395,-0.4407925613489675,53,0.0001752135440404312,True,investor data from 2025-07-07; n_obs differs from full-history factors
10,flow_8000,0.013095934049912316,0.1578633555839733,53,0.013503023943609874,0.16135870371290204,53,0.00040708989369755803,True,investor data from 2025-07-07; n_obs differs from full-history factors
10,flow_foreign,0.012851471319810792,0.162702769447202,53,0.013272441274108327,0.16397452369181303,53,0.0004209699542975353,True,investor data from 2025-07-07; n_obs differs from full-history factors
10,rev5,0.012095476793496538,0.10567081251949804,173,0.014617414576659292,0.12653776454516827,173,0.0025219377831627535,False,full-history factor
10,talent,-0.07189476046527961,-0.44904056731262587,173,-0.07418699927176922,-0.46705826217734747,173,-0.002292238806489613,False,full-history factor
10,tv5_turn,-0.0545167304603615,-0.332981550342496,173,-0.05815768332579079,-0.34307887102481527,173,-0.0036409528654292936,False,full-history factor
10,주가위치,-0.009618881713970332,-0.06958957715043207,173,-0.015822788235382298,-0.11523080240839167,173,-0.006203906521411966,False,full-history factor
20,RS,-0.007755105865245533,-0.056302399371839375,171,-0.0166999974148975,-0.11960382119959051,171,-0.008944891549651966,False,full-history factor
20,div5,-0.04201395012190483,-0.317609845237712,171,-0.044822191385343574,-0.33584814599959006,171,-0.002808241263438746,False,full-history factor
