h,factor,mcap_bucket,quintile,mean_fwd_ret,excess_vs_bucket,n
20,에너지배율,small,1,-0.02011249352539202,0.003991201063743491,13.0
20,에너지배율,small,2,-0.009706930928115426,0.014396763661020086,13.0
20,에너지배율,small,3,-0.029524914211655685,-0.005421219622520173,13.0
20,에너지배율,small,4,-0.03317853199993753,-0.009074837410802023,13.0
20,에너지배율,small,5,-0.027717608874045372,-0.0036139142849098563,14.0
20,에너지배율,mid,1,0.007383532011413811,-0.005163077365252214,13.0
20,에너지배율,mid,2,0.017755353265546992,0.005208743888880967,13.0
20,에너지배율,mid,3,0.015776940118338217,0.0032303307416721946,14.0
20,에너지배율,mid,4,0.01706367380597738,0.004517064429311357,13.0
20,에너지배율,mid,5,0.0050794570358351524,-0.007467152340830873,14.0
20,에너지배율,large,1,0.015460439622163612,-0.0047584356023290895,13.0
20,에너지배율,large,2,0.01782362309388266,-0.002395252130610039,13.0
20,에너지배율,large,3,0.016663090613672285,-0.0035557846108204166,14.0
20,에너지배율,large,4,0.016595940536693034,-0.0036229346877996644,13.0
20,에너지배율,large,5,0.03378152351171342,0.013562648287220725,14.0
20,RS,small,1,-0.035613889921294266,-0.011510195332158754,13.0
20,RS,small,2,-0.03717253081493269,-0.013068836225797183,13.0
20,RS,small,3,-0.01551615963878413,0.008587534950351382,13.0
20,RS,small,4,-0.019280698575242058,0.0048229960138934545,13.0
20,RS,small,5,-0.013732944037832354,0.010370750551303157,14.0
20,RS,mid,1,-0.004816150792572113,-0.017362760169238135,13.0
20,RS,mid,2,0.010008457764313286,-0.002538151612352739,13.0
20,RS,mid,3,0.017089486596268088,0.004542877219602062,14.0
20,RS,mid,4,0.0213519564150966,0.008805347038430575,13.0
20,RS,mid,5,0.0183067565614271,0.005760147184761075,14.0
20,RS,large,1,0.0060676620798780076,-0.014151213144614693,13.0
20,RS,large,2,0.013149276440366177,-0.007069598784126522,13.0
20,RS,large,3,0.01639321035589342,-0.0038256648685992796,14.0
20,RS,large,4,0.02669594371881105,0.006477068494318351,13.0
20,RS,large,5,0.03773515899648464,0.01751628377199194,14.0
20,주가위치,small,1,-0.019546985463502982,0.004556709125632532,13.0
20,주가위치,small,2,-0.04196955738530687,-0.01786586279617135,13.0
20,주가위치,small,3,-0.028832871585976805,-0.004729176996841295,13.0
20,주가위치,small,4,-0.018220385052976483,0.005883309536159025,13.0
20,주가위치,small,5,-0.012816889253001645,0.011286805336133864,14.0
20,주가위치,mid,1,0.004431380815370608,-0.008115228561295417,13.0
20,주가위치,mid,2,0.011451070130259484,-0.0010955392464065408,13.0
20,주가위치,mid,3,0.005032549038826432,-0.007514060337839594,14.0
20,주가위치,mid,4,0.015652766524391255,0.003106157147725227,13.0
20,주가위치,mid,5,0.025729236755912578,0.013182627379246553,14.0
20,주가위치,large,1,0.01003602042689796,-0.01018285479759474,13.0
20,주가위치,large,2,0.01685382146050143,-0.003365053763991269,13.0
20,주가위치,large,3,0.014971052764803,-0.005247822459689697,14.0
20,주가위치,large,4,0.023158558451549256,0.002939683227056555,13.0
20,주가위치,large,5,0.03531719263767403,0.015098317413181333,14.0
20,talent,small,1,-0.04284959078773256,-0.018745896198597047,13.0
20,talent,small,2,-0.011506330365828389,0.012597364223307123,13.0
20,talent,small,3,-0.017672313728015455,0.006431380861120056,13.0
20,talent,small,4,-0.02256875987457754,0.0015349347145579724,13.0
20,talent,small,5,-0.025791636503781606,-0.0016879419146460994,14.0
20,talent,mid,1,0.01928758324117445,0.006740973864508421,13.0
20,talent,mid,2,0.016709845137898513,0.004163235761232487,13.0
20,talent,mid,3,0.018785523674893608,0.006238914298227585,14.0
20,talent,mid,4,0.010976307087976414,-0.0015703022886896121,13.0
