h,factor,meanIC_raw,IC_IR_raw,n_obs_raw,meanIC_size_neutral,IC_IR_size_neutral,n_obs_size_neutral,delta_meanIC
20,RS,-0.007755105865245533,-0.056302399371839375,171,-0.0166999974148975,-0.11960382119959051,171,-0.008944891549651966
20,talent,-0.08912363533725554,-0.5963841655956151,171,-0.09261059385503308,-0.6262949451913649,171,-0.0034869585177775414
20,tv5,-0.023488508956122662,-0.16905491083678828,171,-0.06522878238407263,-0.37510298470532116,171,-0.041740273427949975
20,tv5_turn,-0.06329837184593028,-0.3979681965052871,171,-0.06837654712273199,-0.41765739922470296,171,-0.005078175276801711
20,주가위치,-0.003391750846936814,-0.02628057259585032,171,-0.011444791631868817,-0.0889031644962304,171,-0.008053040784932002
50,RS,0.016177053641124896,0.12516660994755976,165,0.002377108446176025,0.018208138674945334,165,-0.01379994519494887
50,talent,-0.1074973317391011,-0.7638196873680333,165,-0.11177618301915974,-0.8068614516769597,165,-0.004278851280058643
50,tv5,-0.013170364846826245,-0.1015007492785876,165,-0.07272713366139968,-0.43428897792632953,165,-0.05955676881457344
50,tv5_turn,-0.0666696488409555,-0.4322225185008218,165,-0.07493733109661327,-0.47359777662940683,165,-0.008267682255657771
50,주가위치,0.017252993102843336,0.15191927410667322,165,0.004645633137615013,0.04126303744435492,165,-0.012607359965228323
