source,label,major,sub,weight
krx,전기·전자,전기전자,기타,1
krx,IT 서비스,IT소프트웨어,기타,1
krx,화학,화학,기타,1
krx,기계·장비,기계,기타,1
krx,제약,제약바이오,기타,1
krx,일반서비스,서비스,기타,1
krx,유통,유통소비,기타,1
krx,운송장비·부품,자동차,기타,1
krx,금속,철강금속,기타,1
krx,의료·정밀기기,의료기기,기타,1
krx,음식료·담배,음식료,기타,1
krx,기타금융,금융,기타,1
krx,오락·문화,미디어콘텐츠,기타,1
krx,건설,건설,기타,1
krx,섬유·의류,섬유패션,기타,1
krx,비금속,건자재,기타,1
krx,금융,금융,기타,1
krx,운송·창고,운송,기타,1
krx,증권,금융,증권,1
krx,종이·목재,제지목재,기타,1
krx,기타제조,기타,기타,1
krx,통신,통신,기타,1
krx,보험,금융,보험,1
krx,전기·가스,유틸리티,기타,1
krx,부동산,부동산리츠,기타,1
krx,"농업, 임업 및 어업",농수산,기타,1
krx,은행,금융,은행,1
krx,전기·가스·수도,유틸리티,기타,1
krx,출판·매체복제,미디어콘텐츠,출판,1
naver_industry,제약,제약바이오,제약,2
naver_industry,반도체와반도체장비,반도체,종합,2
naver_industry,자동차부품,자동차,부품,2
naver_industry,화학,화학,종합,2
naver_industry,IT서비스,IT소프트웨어,SI,2
naver_industry,전자장비와기기,전기전자,전자부품,2
naver_industry,기계,기계,산업기계,2
naver_industry,건강관리장비와용품,의료기기,장비,2
naver_industry,식품,음식료,식품,2
naver_industry,"섬유,의류,신발,호화품",섬유패션,의류,2
naver_industry,창업투자,금융,창투,2
naver_industry,건설,건설,종합건설,2
naver_industry,소프트웨어,IT소프트웨어,소프트웨어,2
naver_industry,디스플레이장비및부품,디스플레이,장비부품,2
naver_industry,전기제품,전기전자,전기제품,2
naver_industry,화장품,화장품,브랜드,2
naver_industry,생물공학,제약바이오,바이오텍,2
naver_industry,핸드셋,전기전자,휴대폰,2
naver_industry,방송과엔터테인먼트,미디어콘텐츠,방송,2
naver_industry,통신장비,통신,장비,2
naver_industry,철강,철강금속,철강,2
naver_industry,건축자재,건자재,자재,2
naver_industry,비철금속,철강금속,비철,2
naver_industry,생명과학도구및서비스,제약바이오,연구서비스,2
naver_industry,증권,금융,증권,2
naver_industry,전기장비,전기전자,전기장비,2
naver_industry,우주항공과국방,방산우주,방산,2
naver_industry,게임엔터테인먼트,게임,게임,2
naver_industry,에너지장비및서비스,정유에너지,장비서비스,2
naver_industry,상업서비스와공급품,서비스,기업서비스,2
naver_industry,부동산,부동산리츠,부동산,2
naver_industry,건강관리업체및서비스,의료기기,헬스케어서비스,2
naver_industry,조선,조선,조선,2
naver_industry,포장재,화학,포장재,2
naver_industry,교육서비스,교육,교육,2
naver_industry,컴퓨터와주변기기,IT소프트웨어,하드웨어,2
naver_industry,가정용기기와용품,유통소비,가전생활,2
naver_industry,복합기업,지주,복합,2
naver_industry,"호텔,레스토랑,레저",여행레저,호텔레저,2
naver_industry,전자제품,전기전자,전자제품,2
naver_industry,석유와가스,정유에너지,석유가스,2
naver_industry,광고,미디어콘텐츠,광고,2
naver_industry,양방향미디어와서비스,IT소프트웨어,인터넷,2
naver_industry,음료,음식료,음료,2
naver_industry,건강관리기술,의료기기,헬스케어IT,2
naver_industry,종이와목재,제지목재,제지,2
naver_industry,판매업체,유통소비,판매,2
naver_industry,항공화물운송과물류,운송,물류,2
naver_industry,건축제품,건자재,제품,2
naver_industry,레저용장비와제품,여행레저,레저용품,2
naver_industry,자동차,자동차,완성차,2
naver_industry,백화점과일반상점,유통소비,백화점,2
naver_industry,가스유틸리티,유틸리티,가스,2
naver_industry,가정용품,유통소비,생활용품,2
naver_industry,손해보험,금융,손해보험,2
naver_industry,해운사,운송,해운,2
naver_industry,가구,유통소비,가구,2
naver_industry,은행,금융,은행,2
naver_industry,운송인프라,운송,인프라,2
naver_industry,도로와철도운송,운송,육상,2
naver_industry,출판,미디어콘텐츠,출판,2
naver_industry,식품과기본식료품소매,유통소비,식품소매,2
naver_industry,항공사,운송,항공,2
naver_industry,인터넷과카탈로그소매,유통소비,이커머스,2
naver_industry,무역회사와판매업체,유통소비,무역,2
naver_industry,기타금융,금융,기타금융,2
naver_industry,디스플레이패널,디스플레이,패널,2
naver_industry,전문소매,유통소비,전문소매,2
naver_industry,전기유틸리티,유틸리티,전력,2
naver_industry,생명보험,금융,생명보험,2
naver_industry,무선통신서비스,통신,서비스,2
